2021-07-04 21:07:920 INFO  NewAndUsedCarSearchPage :27 - Getting text from : [[ChromeDriver: chrome on WINDOWS (296bcc9460bcd3d2f0bb86462fab7ed6)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 21:07:967 INFO  NewAndUsedCarSearchPage :31 - Select make from : [[ChromeDriver: chrome on WINDOWS (296bcc9460bcd3d2f0bb86462fab7ed6)] -> xpath: //select[@id='makes']]
2021-07-04 21:07:133 INFO  NewAndUsedCarSearchPage :35 - Select model from : [[ChromeDriver: chrome on WINDOWS (296bcc9460bcd3d2f0bb86462fab7ed6)] -> xpath: //select[@id='models']]
2021-07-04 21:07:294 INFO  NewAndUsedCarSearchPage :39 - Select location from : [[ChromeDriver: chrome on WINDOWS (296bcc9460bcd3d2f0bb86462fab7ed6)] -> xpath: //select[@id='locations']]
2021-07-04 21:07:464 INFO  NewAndUsedCarSearchPage :43 - Select price from : [[ChromeDriver: chrome on WINDOWS (296bcc9460bcd3d2f0bb86462fab7ed6)] -> xpath: //select[@id='priceTo']]
2021-07-04 21:07:136 INFO  NewAndUsedCarSearchPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (296bcc9460bcd3d2f0bb86462fab7ed6)] -> xpath: //input[@id='search-submit']]
2021-07-04 21:07:652 INFO  BmwPages :16 - Getting text from : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='listing-col listing-col-title col-sm-16 col-md-12 col-lg-13 col location-set']//h1'
2021-07-04 21:07:827 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-04 21:07:758 INFO  HomePage :20 - Mouse hover on : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 21:07:114 INFO  HomePage :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 21:07:371 INFO  NewAndUsedCarSearchPage :27 - Getting text from : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 21:07:418 INFO  NewAndUsedCarSearchPage :31 - Select make from : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //select[@id='makes']]
2021-07-04 21:07:589 INFO  NewAndUsedCarSearchPage :35 - Select model from : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //select[@id='models']]
2021-07-04 21:07:758 INFO  NewAndUsedCarSearchPage :39 - Select location from : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //select[@id='locations']]
2021-07-04 21:07:925 INFO  NewAndUsedCarSearchPage :43 - Select price from : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //select[@id='priceTo']]
2021-07-04 21:07:583 INFO  NewAndUsedCarSearchPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (cc5b5ce4b07276553c609188dc1c52d4)] -> xpath: //input[@id='search-submit']]
2021-07-04 21:07:99 INFO  SelectedCarPages :16 - Getting text from : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='listing-col listing-col-title col-sm-16 col-md-12 col-lg-13 col location-set']//h1'
2021-07-04 21:07:677 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-04 21:07:912 INFO  HomePage :20 - Mouse hover on : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 21:07:96 INFO  HomePage :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 21:07:375 INFO  NewAndUsedCarSearchPage :27 - Getting text from : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 21:07:422 INFO  NewAndUsedCarSearchPage :31 - Select make from : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //select[@id='makes']]
2021-07-04 21:07:592 INFO  NewAndUsedCarSearchPage :35 - Select model from : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //select[@id='models']]
2021-07-04 21:07:745 INFO  NewAndUsedCarSearchPage :39 - Select location from : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //select[@id='locations']]
2021-07-04 21:07:907 INFO  NewAndUsedCarSearchPage :43 - Select price from : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //select[@id='priceTo']]
2021-07-04 21:07:592 INFO  NewAndUsedCarSearchPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (2f2d6fac119e21a435d72c2b096be81b)] -> xpath: //input[@id='search-submit']]
2021-07-04 21:07:862 INFO  SelectedCarPages :16 - Getting text from : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='listing-col listing-col-title col-sm-16 col-md-12 col-lg-13 col location-set']//h1'
2021-07-04 21:07:07 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-04 21:07:306 INFO  HomePage :20 - Mouse hover on : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 21:07:510 INFO  HomePage :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 21:07:24 INFO  NewAndUsedCarSearchPage :27 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 21:07:81 INFO  NewAndUsedCarSearchPage :31 - Select make from : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //select[@id='makes']]
2021-07-04 21:07:257 INFO  NewAndUsedCarSearchPage :35 - Select model from : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //select[@id='models']]
2021-07-04 21:07:412 INFO  NewAndUsedCarSearchPage :39 - Select location from : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //select[@id='locations']]
2021-07-04 21:07:589 INFO  NewAndUsedCarSearchPage :43 - Select price from : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //select[@id='priceTo']]
2021-07-04 21:07:246 INFO  NewAndUsedCarSearchPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //input[@id='search-submit']]
2021-07-04 21:07:452 INFO  SelectedCarPages :16 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7c9da957b15696f3e78be278ea20ad23)] -> xpath: //h1[@class='listing-search-title']]
2021-07-04 21:07:948 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-04 21:07:607 INFO  HomePage :20 - Mouse hover on : [[ChromeDriver: chrome on WINDOWS (4577599eba28bae074267b88d16e631f)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-04 21:07:847 INFO  HomePage :25 - Clicking on : [[ChromeDriver: chrome on WINDOWS (4577599eba28bae074267b88d16e631f)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-04 21:07:159 INFO  NewAndUsedCarSearchPage :27 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4577599eba28bae074267b88d16e631f)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-04 21:07:216 INFO  NewAndUsedCarSearchPage :31 - Select make from : [[ChromeDriver: chrome on WINDOWS (4577599eba28bae074267b88d16e631f)] -> xpath: //select[@id='makes']]
2021-07-04 21:07:385 INFO  NewAndUsedCarSearchPage :35 - Select model from : [[ChromeDriver: chrome on WINDOWS (4577599eba28bae074267b88d16e631f)] -> xpath: //select[@id='models']]
2021-07-04 21:07:557 INFO  NewAndUsedCarSearchPage :39 - Select location from : [[ChromeDriver: chrome on WINDOWS (4577599eba28bae074267b88d16e631f)] -> xpath: //select[@id='locations']]
2021-07-04 21:07:724 INFO  NewAndUsedCarSearchPage :43 - Select price from : [[ChromeDriver: chrome on WINDOWS (4577599eba28bae074267b88d16e631f)] -> xpath: //select[@id='priceTo']]
